iter	R2	RMSE
0	0.1601914229	42331.56688
1	0.2682982162	39513.11313
2	0.3527495813	37162.9654
3	0.4113774845	35439.9113
4	0.461663585	33892.30219
5	0.4984537735	32713.7006
6	0.5325985826	31580.51468
7	0.5615049438	30588.38457
8	0.5788156763	29978.52703
9	0.5992742168	29241.37796
10	0.6158998829	28628.35611
11	0.6323747006	28007.66393
12	0.6545460657	27149.96428
13	0.6642312078	26766.67066
14	0.6791448985	26165.47755
15	0.6947421452	25521.58339
16	0.7062797996	25034.62549
17	0.7210567364	24396.75866
18	0.7364957312	23711.99085
19	0.7440776819	23368.36199
20	0.7540915629	22906.61444
21	0.7618124966	22544.14023
22	0.767490868	22273.79399
23	0.7726013288	22027.64924
24	0.7797015954	21681.02784
25	0.7878525314	21276.15365
26	0.7939977901	20965.73686
27	0.8008079082	20616.27683
28	0.8073660168	20274.05608
29	0.8111572131	20073.55959
30	0.8165277584	19786.06241
31	0.8240723456	19374.9793
32	0.8288246278	19111.5025
33	0.8322968553	18916.67464
34	0.8324364958	18908.79738
35	0.8357303245	18722.02801
36	0.8414890771	18390.93411
37	0.847099454	18062.53531
38	0.8530895079	17705.19025
39	0.8580323026	17404.79692
40	0.8644162282	17008.97124
41	0.8665010684	16877.69312
42	0.870113629	16647.76675
43	0.872729944	16479.24493
44	0.8767126926	16219.34736
45	0.8804086191	15974.38442
46	0.8857838254	15611.26142
47	0.8885960114	15417.87645
48	0.8908048189	15264.26607
49	0.8953749182	14941.42765
50	0.8999239942	14612.99289
51	0.9031249869	14377.39081
52	0.9060037232	14162.16066
53	0.908699728	13957.58324
54	0.9107060881	13803.36957
55	0.9140890783	13539.36762
56	0.9181166354	13218.19124
57	0.9194921232	13106.70056
58	0.9208813495	12993.1253
59	0.9237041035	12759.23926
60	0.9259781572	12567.65173
61	0.9278560674	12407.20898
62	0.930011476	12220.46154
63	0.9319143483	12053.18966
64	0.933465391	11915.10834
65	0.9355585588	11726.18693
66	0.9377107811	11528.70784
67	0.9397066604	11342.50191
68	0.9410834729	11212.24969
69	0.9438398256	10946.83104
70	0.9450086217	10832.32031
71	0.9462028143	10714.05742
72	0.9465488126	10679.54794
73	0.9478841987	10545.29907
74	0.9500346725	10325.43983
75	0.9511632028	10208.16728
76	0.9516766627	10154.36222
77	0.9522467419	10094.28809
78	0.9532942098	9982.965111
79	0.9539882804	9908.511631
80	0.9550235544	9796.40557
81	0.9557841831	9713.215354
82	0.9569175751	9587.916888
83	0.9578795101	9480.274186
84	0.9586716566	9390.704827
85	0.9597440689	9268.066235
86	0.9610681332	9114.373164
87	0.9624942112	8945.885663
88	0.9631681596	8865.146175
89	0.9639520689	8770.298263
90	0.9660628029	8509.659375
91	0.9668667003	8408.267801
92	0.9671906	8367.068701
93	0.9686333931	8181.029558
94	0.9700881126	7989.067663
95	0.9707512236	7900.017294
96	0.9719968184	7729.97126
97	0.9726952381	7632.967062
98	0.9737994941	7477.028386
