iter	Passed	Remaining
0	233	233348
1	379	189377
2	579	192457
3	796	198288
4	1207	240199
5	1517	251466
6	1657	235123
7	1822	226017
8	2062	227158
9	2188	216625
10	2293	206211
11	2426	199744
12	2564	194733
13	2676	188491
14	2829	185790
15	3002	184651
16	3166	183072
17	3292	179634
18	3432	177233
19	3563	174612
20	3689	172016
21	3815	169630
22	3932	167048
23	4065	165328
24	4172	162714
25	4305	161306
26	4434	159791
27	4571	158683
28	4691	157071
29	4817	155763
30	4933	154218
31	5047	152699
32	5176	151676
33	5305	150734
34	5442	150051
35	5559	148877
36	5687	148034
37	5814	147189
38	5938	146325
39	6055	145338
40	6176	144471
41	6321	144193
42	6441	143363
43	6585	143086
44	6713	142465
45	6846	141983
46	7080	143558
47	7266	144121
48	7428	144180
49	7622	144833
50	7781	144790
51	7965	145209
52	8107	144857
53	8239	144347
54	8349	143452
55	8478	142930
56	8612	142489
57	8738	141917
58	8849	141143
59	8982	140726
60	9116	140333
61	9219	139484
62	9356	139158
63	9495	138874
64	9637	138635
65	9772	138292
66	9883	137632
67	10024	137388
68	10147	136917
69	10279	136575
70	10398	136057
71	10518	135567
72	10649	135228
73	10763	134687
74	10897	134400
75	11035	134168
76	11156	133736
77	11286	133409
78	11411	133041
79	11594	133332
80	11727	133060
81	11859	132763
82	11987	132435
83	12118	132151
84	12297	132374
85	12429	132095
86	12544	131649
87	12678	131391
88	12801	131038
89	12930	130744
90	13060	130460
91	13193	130214
92	13324	129950
93	13442	129562
94	13558	129161
95	13674	128766
96	13803	128502
97	13929	128204
98	14053	127905
99	14180	127624
100	14290	127195
101	14407	126838
102	14536	126591
103	14659	126301
104	14775	125939
105	14900	125668
106	15013	125302
107	15137	125026
108	15250	124658
109	15371	124365
110	15497	124117
111	15624	123876
112	15751	123639
113	15913	123679
114	16041	123446
115	16169	123224
116	16295	122983
117	16427	122786
118	16549	122523
119	16675	122287
120	16783	121920
121	16916	121740
122	17051	121578
123	17161	121239
124	17304	121132
125	17469	121179
126	17605	121019
127	17735	120820
128	17872	120671
129	17990	120400
130	18125	120238
131	18271	120150
132	18414	120041
133	18538	119807
134	18682	119703
135	18821	119574
136	18985	119591
137	19122	119445
138	19244	119207
139	19381	119057
140	19511	118868
141	19648	118720
142	19780	118542
143	19914	118381
144	20041	118173
145	20170	117985
146	20293	117758
147	20416	117535
148	20541	117319
149	20678	117175
150	20811	117015
151	20937	116809
152	21061	116595
153	21186	116388
154	21325	116260
155	21452	116062
156	21627	116129
157	21788	116114
158	21914	115915
159	22035	115684
160	22167	115518
161	22300	115355
162	22477	115419
163	22596	115185
164	22723	114996
165	22849	114799
166	22988	114666
167	23126	114532
168	23339	114766
169	23472	114601
170	23598	114403
171	23755	114358
172	23952	114499
173	24114	114474
174	24254	114340
175	24371	114101
176	24501	113925
177	24626	113725
178	24756	113547
179	24877	113331
180	24998	113115
181	25162	113091
182	25290	112910
183	25414	112708
184	25532	112480
185	25653	112267
186	25776	112064
187	25904	111883
188	26010	111610
189	26144	111459
190	26270	111270
191	26387	111046
192	26513	110863
193	26640	110682
194	26787	110584
195	26927	110456
196	27062	110311
197	27187	110121
198	27312	109936
199	27443	109774
200	27679	110030
201	27877	110129
202	28085	110268
203	28282	110357
204	28505	110545
205	28658	110461
206	28832	110455
207	28990	110387
208	29111	110178
209	29258	110069
210	29395	109918
211	29556	109859
212	29719	109806
213	29901	109825
214	30054	109734
215	30200	109617
216	30340	109479
217	30488	109365
218	30637	109260
219	30764	109072
220	30924	109005
221	31085	108938
222	31261	108924
223	31404	108794
224	31561	108710
225	31780	108842
226	31982	108910
227	32164	108907
228	32386	109038
229	32548	108967
230	32888	109485
231	33062	109447
232	33190	109256
233	33298	109003
234	33476	108975
235	33664	108980
236	33823	108890
237	33966	108748
238	34124	108657
239	34289	108583
240	34432	108440
241	34564	108263
242	34695	108085
243	34820	107886
244	34936	107660
245	35074	107505
246	35213	107351
247	35337	107153
248	35476	106999
249	35621	106863
250	35749	106677
251	35887	106524
252	36058	106464
253	36217	106370
254	36359	106226
255	36506	106096
256	36639	105927
257	36837	105944
258	36967	105763
259	37101	105595
260	37226	105403
261	37378	105286
262	37517	105133
263	37576	104757
264	37724	104631
265	37873	104508
266	37984	104280
267	38129	104144
268	38243	103925
269	38366	103731
270	38492	103545
271	38625	103380
272	38776	103261
273	38919	103122
274	39059	102975
275	39184	102789
276	39307	102595
277	39421	102383
278	39557	102224
279	39690	102062
280	39817	101881
281	39944	101703
282	40077	101540
283	40199	101348
