id,name,country,lat,long,start_year,age,length_km
11,Athens,Greece,37.96666667,23.71666667,1867,157,86.834
139,Boston,United States,42.35,-71.08333333,1806,218,615.505
206,New York,United States,40.78333333,-73.96666667,1817,207,1089.854
54,Helsinki,Finland,60.16666667,25.0,2017,7,0.639
231,San Francisco,United States,37.78333333,-122.4333333,1863,161,351.531
344,Bergen,Norway,60.3925,5.323333,2007,17,19.803
358,Taipei,Taiwan,25.032969,121.565414,1966,58,208.41
88,New Delhi,India,28.58333333,77.2,2005,19,33.574
140,Buffalo,United States,42.91666667,-78.83333333,1979,45,10.402
369,Hangzhou,China,30.29365,120.161419,2007,17,456.119
386,Wuhan,China,30.583333,114.266667,2000,24,488.812
364,Chengdu,China,30.666667,104.066667,2006,18,553.993
362,Changchun,China,43.88,125.322778,2017,7,2.299
132,Austin,United States,30.26666667,-97.73333333,2008,16,51.691
149,Cleveland,United States,41.46666667,-81.61666667,1968,56,7.43
201,Nashville,United States,36.16666667,-86.78333333,2005,19,50.368
249,Vancouver,Canada,49.21666667,-123.1,1982,42,77.466
212,Philadelphia,United States,39.95,-75.16666667,1834,190,354.183
195,Minneapolis,United States,44.98333333,-93.23333333,2001,23,144.734
215,Pittsburgh,United States,40.45,-79.95,1870,154,61.671
4,Santiago,Chile,-33.453214,-70.6544495,1850,174,221.576
32,Guangzhou,China,23.11666667,113.25,1997,27,681.074
48,Glasgow,Scotland,55.83333333,-4.25,1891,133,528.652
22,Mumbai,India,19.0,72.8,1910,114,601.802
1,Buenos Aires,Argentina,-34.6050499,-58.4122003,1854,170,1141.979
45,Edinburgh,Scotland,55.91666667,-3.166666667,1846,178,40.394
86,Nanjing,China,32.0496979,118.7797165,2005,19,389.464
19,Berlin,Germany,52.5,13.41666667,1896,128,1.231
21,Bogotá,Colombia,4.6304949,-74.0904236,1872,152,147.731
23,Bordeaux,France,44.83333333,-0.5166666667,1998,26,129.963
27,Brussels,Belgium,50.86666667,4.366666667,2017,7,530.739
29,Budapest,Hungary,47.5,19.08333333,2017,7,63.525
34,Caracas,Venezuela,10.5,-66.933333,2004,20,9.939
37,Chongqing,China,29.5680822,106.5811157,2004,20,375.405
39,Córdoba,Argentina,-31.46666667,-64.16666667,1889,135,262.982
13,Bangkok,Thailand,13.75,100.5,1996,28,198.921
63,Kuala Lumpur,Malaysia,3.133333333,101.7,1886,138,476.681
64,La Paz,Bolivia,-16.45,-68.36666667,2011,13,33.64
66,Lima,Peru,-12.035,-77.018611,1984,40,34.85
70,Lyons,France,45.75,4.833333333,1862,162,133.476
72,Manchester,England,53.5,-2.25,2017,7,11.695
73,Manila,Philippines,14.58333333,120.95,1981,43,139.544
74,Marseilles,France,43.33333333,5.333333333,1880,144,75.081
77,Melbourne,Australia,-37.78333333,144.9666667,1854,170,68.08
78,Mexico City,Mexico,19.43333333,-99.11666667,1967,57,446.306
82,Munich,Germany,48.13333333,11.58333333,2017,7,176.735
87,Naples,Italy,40.83333333,14.25,1976,48,22.32
71,Madrid,Spain,40.43333333,-3.7,1869,155,577.574
69,London,England,51.53333333,-0.08333333333,1833,191,1663.529
59,Jakarta,Indonesia,-6.2,106.816667,1871,153,515.337
15,Beijing,China,39.91666667,116.4166667,1961,63,1092.665
79,Milan,Italy,45.45,9.166666667,1840,184,523.871
8,Amsterdam,Netherlands,52.36666667,4.883333333,1970,54,42.143
56,Hong Kong,China,22.33333333,114.1833333,1885,139,265.825
67,Lisbon,Portugal,38.73333333,-9.15,1859,165,142.42
14,Barcelona,Spain,41.38333333,2.15,1848,176,775.034
84,Nagoya,Japan,35.11666667,136.9333333,1905,119,207.536
89,Newcastle-on-Tyne,England,54.96666667,-1.616666667,1835,189,152.842
91,Osaka,Japan,34.693889,135.502222,1874,150,2503.834
95,Paris,France,48.856578,2.351828,1898,126,463.213
99,Prague,Czech Republic,50.08333333,14.43333333,2017,7,93.353
102,Rio de Janeiro,Brazil,-22.95,-43.2,1858,166,157.314
103,Rome,Italy,41.9,12.45,1924,100,146.294
104,Salvador,Brazil,-12.93333333,-38.45,2014,10,27.043
106,São Paulo,Brazil,-23.5453402,-46.6363621,1860,164,749.495
107,Shanghai,China,31.16666667,121.4666667,1990,34,954.685
124,Valparaíso,Chile,-33.045944,-71.616361,1855,169,53.831
110,Stockholm,Sweden,59.28333333,18.05,1919,105,132.897
111,Sydney,Australia,-33.866667,151.2,1858,166,355.001
108,Singapore,Singapore,1.283333,103.833333,1932,92,270.996
116,Venice,Italy,45.43333333,12.33333333,1842,182,53.524
118,Vienna,Austria,48.23333333,16.33333333,1978,46,84.97
120,Warsaw,Poland,52.23333333,21.0,1995,29,27.592
126,Guadalajara,México,20.666111,-103.351944,1987,37,59.45
131,Atlanta,United States,33.75,-84.38333333,1974,50,83.668
145,Charlotte,United States,35.23333333,-80.83333333,2005,19,32.247
147,Chicago,United States,41.83333333,-87.61666667,1892,132,176.958
148,Cincinnati,United States,39.13333333,-84.5,1920,104,31.236
152,Dallas,United States,32.76666667,-96.76666667,1989,35,125.699
153,Denver,United States,39.75,-105.0,1994,30,174.131
189,Los Angeles,United States,34.05,-118.25,2017,7,140.077
199,Montréal,Canada,45.5,-73.58333333,1966,58,65.491
205,New Orleans,United States,29.95,-90.06666667,1833,191,26.625
217,Portland,United States,45.51666667,-122.6833333,1982,42,145.192
223,Richmond,United States,37.55,-77.48333333,2016,8,12.123
225,Sacramento,United States,38.58333333,-121.5,1987,37,70.512
235,Savannah,United States,32.08333333,-81.08333333,2004,20,1.866
236,Seattle,United States,47.61666667,-122.3333333,1961,63,29.066
245,Tampa,United States,27.95,-82.45,2002,22,4.219
252,Washington,United States,38.88333333,-77.03333333,1969,55,294.85
255,Winnipeg,Canada,49.9,-97.11666667,2013,11,184.576
258,Bilbao,Spain,43.262222,-2.953333,1887,137,37.105
259,Rosario,Argentina,-32.95,-60.65,1868,156,52.358
260,Mendoza,Argentina,-32.883333,-68.833333,1958,66,100.805
247,Toronto,Canada,43.66666667,-79.4,1949,75,454.175
262,Genoa,Italy,44.411111,8.932778,1982,42,7.081
263,Graz,Austria,47.066667,15.433333,1896,128,11.29
264,Zaragoza,Spain,41.65,-0.883333,2008,16,35.208
265,Nantes,France,47.217222,-1.553889,1877,147,236.073
266,Rennes,France,48.114167,-1.680833,1897,127,45.278
267,Innsbruck,Austria,47.266667,11.383333,2017,7,47.447
268,San Sebastián,Spain,43.32,-1.98,1912,112,71.351
275,Angers,France,47.48000755,-0.530029949,2007,17,24.251
280,Clermont-Ferrand,France,45.77998212,3.080008096,2004,20,30.67
283,Besancon,France,47.22999697,6.03000891,2006,18,28.824
286,Grenoble,France,45.18038047,5.720001992,1934,90,87.433
293,Brest,France,48.39044293,-4.49500757,2003,21,28.902
294,Le Mans,France,48.00041506,0.099983275,2007,17,35.501
300,Montpellier,France,43.61039878,3.869985716,1996,28,98.675
228,Salt Lake City,United States,40.76666667,-111.9,1997,27,227.386
261,Concepción,Chile,-36.833333,-73.05,1908,116,83.04
256,Valencia,Spain,39.466667,-0.375,1988,36,204.505
305,Dijon,France,47.33040428,5.030018268,2009,15,38.11
307,Tours,France,47.38037539,0.699946654,2010,14,29.914
308,Orleans,France,47.90042116,1.900028441,1998,26,40.694
310,Rouen,France,49.43040529,1.079975137,1991,33,30.223
314,Reims,France,49.25039044,4.029975951,2008,16,11.337
317,Mulhouse,France,47.75040448,7.34998002,2003,21,48.434
318,Nancy,France,48.68368085,6.200024372,2001,23,17.481
324,Nice,France,43.71501772,7.265023965,2002,22,17.665
325,Toulouse,France,43.61995892,1.449926716,2018,6,44.707
327,Lille,France,50.64996909,3.080008096,1909,115,85.485
328,Strasbourg,France,48.57996625,7.750007282,1994,30,48.986
331,Le Havre,France,49.50497438,0.104970051,1890,134,26.382
335,La Plata,Argentina,-34.919392,-57.953772,2013,11,4.48
338,Neuquén,Argentina,-38.95735,-68.045533,2015,9,12.23
339,Quito,Ecuador,-0.233333,-78.516667,2013,11,21.51
340,Pune,India,18.523611,73.847778,1958,66,63.975
352,Norfolk,United States,36.854628,-76.274394,2007,17,11.803
354,Rotterdam - The Hague,Netherlands,51.916667,4.5,2020,4,230.924
357,Busan,South Korea,35.179554,129.075638,1980,44,248.289
359,Macau,China,22.198746,113.543877,2012,12,8.248
360,Santa Fe,Argentina,-31.633333,-60.7,2008,16,9.939
361,Tegal,Indonesia,-6.866667,109.133333,2020,4,51.496
342,Istanbul,Turkey,41.013611,28.955,1989,35,38.096
356,Seoul,South Korea,37.566536,126.977966,1971,53,1418.234
114,Tokyo,Japan,35.66666667,139.75,1872,152,4770.864
