id,brt,bus,commuter_rail,default,ferry,heavy_rail,high_speed_rail,inter_city_rail,light_rail,people_mover,tram,total,name
8,0.0,0.0,0.0,0.0,0.0,42.1,0.0,0.0,0.0,0.0,0.571,42.671,Amsterdam
275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.251,0.0,0.0,24.251,Angers
11,0.0,0.0,0.0,0.0,0.0,86.834,0.0,0.0,0.0,0.0,0.0,86.834,Athens
131,0.0,0.0,0.0,0.0,0.0,79.456,0.0,0.0,0.0,0.0,4.212,83.668,Atlanta
132,0.0,0.0,51.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.691,Austin
13,15.214,0.0,50.938,0.0,0.0,132.769,0.0,0.0,0.0,0.0,0.0,198.921,Bangkok
14,0.0,0.0,283.422,0.0,0.0,145.695,0.0,361.215,28.749,0.0,0.0,819.081,Barcelona
15,40.189,0.0,350.597,20.336,0.0,660.666,0.0,0.0,9.06,0.0,11.817,1092.665,Beijing
344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.803,0.0,0.0,19.803,Bergen
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.231,0.0,0.0,1.231,Berlin
283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.824,0.0,0.0,28.824,Besancon
258,0.0,0.0,0.0,37.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.105,Bilbao
21,0.0,0.0,0.0,147.731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.731,Bogotá
23,0.0,0.0,0.0,129.963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.963,Bordeaux
139,4.502,0.0,502.893,0.0,0.0,65.803,0.0,0.0,39.321,0.0,0.0,612.519,Boston
293,0.0,0.0,0.0,28.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.677,Brest
27,0.0,8.156,357.096,0.0,0.0,37.238,0.0,0.0,46.225,0.0,105.595,554.31,Brussels
29,0.0,0.0,0.0,9.379,0.0,0.0,0.0,0.0,20.944,0.0,0.0,30.323,Budapest
1,112.686,0.0,900.695,0.0,44.349,56.177,0.0,0.0,19.664,0.0,8.408,1141.979,Buenos Aires
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.402,0.0,0.0,10.402,Buffalo
357,0.0,0.0,57.551,0.0,0.0,116.248,51.9,0.0,22.59,0.0,0.0,248.289,Busan
34,0.0,0.0,0.0,9.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.939,Caracas
362,0.0,0.0,0.0,2.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.299,Changchun
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.134,0.0,6.34,36.474,Charlotte
364,42.169,0.0,0.0,69.365,0.0,453.361,0.0,0.0,0.0,0.0,0.0,564.895,Chengdu
147,0.0,0.0,0.0,146.933,0.0,0.0,0.0,0.0,33.207,0.0,0.0,180.14,Chicago
37,0.0,0.0,0.0,0.0,0.0,416.323,0.0,0.0,15.206,0.0,0.0,431.529,Chongqing
148,0.0,0.0,0.0,31.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.236,Cincinnati
280,0.0,0.0,0.0,30.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.613,Clermont-Ferrand
149,0.0,0.0,0.0,0.0,0.0,61.491,0.0,0.0,0.0,0.0,0.0,61.491,Cleveland
261,16.319,0.0,0.0,66.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.403,Concepción
39,5.328,58.781,57.189,0.0,0.0,0.0,0.0,141.684,0.0,0.0,0.0,262.982,Córdoba
152,0.0,0.0,0.0,125.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.699,Dallas
153,0.0,0.0,79.16,0.0,0.0,0.0,0.0,0.0,94.971,0.0,0.0,174.131,Denver
305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.11,0.0,0.0,38.11,Dijon
45,0.0,0.0,8.184,0.0,0.0,0.0,0.0,0.27,0.0,0.0,13.813,22.267,Edinburgh
262,0.0,0.0,0.0,7.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.081,Genoa
48,0.0,0.0,268.52,0.0,0.0,0.0,0.0,81.139,10.531,0.0,0.0,360.19,Glasgow
263,0.0,0.0,0.0,11.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.29,Graz
286,0.0,0.0,0.0,87.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.352,Grenoble
126,0.0,0.0,0.0,59.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.45,Guadalajara
32,22.125,0.0,0.0,70.843,0.0,547.301,0.0,0.0,14.074,0.0,26.733,681.076,Guangzhou
369,0.0,0.0,0.0,0.0,0.0,458.322,0.0,0.0,0.0,0.0,0.0,458.322,Hangzhou
54,0.0,0.0,271.543,0.0,0.0,34.544,0.0,0.0,0.0,0.0,0.0,306.087,Helsinki
56,0.0,0.0,148.448,0.0,2.548,71.975,25.633,0.0,0.0,2.835,18.492,269.931,Hong Kong
267,0.0,0.0,0.0,47.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.447,Innsbruck
342,0.0,2.451,34.294,0.0,0.0,1.351,0.0,0.0,0.0,0.0,0.0,38.096,Istanbul
59,235.217,0.0,0.0,0.0,0.0,258.251,0.0,0.0,5.529,3.046,0.0,502.043,Jakarta
63,5.448,0.0,263.346,0.0,0.0,122.134,0.0,0.0,89.372,8.556,0.0,488.856,Kuala Lumpur
64,0.0,0.0,0.0,30.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.977,La Paz
335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48,4.48,La Plata
331,0.0,0.0,0.0,0.307,0.0,0.0,0.0,0.0,25.978,0.0,0.0,26.285,Le Havre
294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.483,0.0,0.0,35.483,Le Mans
327,0.0,0.0,0.0,0.0,0.0,45.562,0.0,0.0,39.784,0.0,0.0,85.346,Lille
66,0.0,0.0,0.0,34.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.85,Lima
67,0.0,0.0,33.049,109.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.42,Lisbon
69,0.0,0.0,936.972,0.0,0.0,538.321,54.032,317.324,36.645,1.095,27.969,1912.358,London
189,0.0,0.0,0.0,140.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.077,Los Angeles
70,0.0,0.0,0.0,133.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.476,Lyons
359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.248,0.0,8.248,Macau
71,0.0,0.0,377.053,275.223,0.0,0.0,0.0,0.0,10.315,0.0,0.0,662.591,Madrid
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.248,6.248,Manchester
73,0.0,0.0,62.246,0.0,24.259,59.36,0.0,0.0,0.0,0.0,0.0,145.865,Manila
74,0.0,0.0,0.0,75.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.081,Marseilles
77,0.0,0.0,52.776,0.0,0.0,0.0,0.0,0.0,14.036,0.0,0.0,66.812,Melbourne
260,0.0,83.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.153,100.805,Mendoza
78,144.333,0.0,25.784,0.0,0.0,205.066,0.0,58.532,12.591,0.0,0.0,446.306,Mexico City
79,0.0,0.0,423.343,0.0,0.0,107.528,0.0,0.0,0.0,0.0,0.0,530.871,Milan
195,46.988,0.0,62.567,0.0,0.0,0.0,0.0,0.0,35.179,0.0,0.0,144.734,Minneapolis
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.621,0.0,0.0,98.621,Montpellier
199,0.0,0.0,0.0,65.491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.491,Montréal
317,0.0,0.0,30.302,0.0,0.0,0.0,0.0,0.0,29.833,0.0,0.0,60.135,Mulhouse
22,0.0,3.211,528.548,0.0,0.0,123.721,0.0,0.0,19.861,0.0,0.0,675.341,Mumbai
82,0.0,0.0,0.0,168.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.785,Munich
84,6.749,0.0,96.412,0.0,0.0,94.63,0.0,0.0,0.0,9.106,0.0,206.897,Nagoya
318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.481,0.0,0.0,17.481,Nancy
86,0.0,0.0,0.0,459.025,0.0,0.0,0.0,0.0,0.0,0.0,16.784,475.809,Nanjing
265,14.753,0.0,120.624,3.394,0.0,0.0,0.0,0.0,83.225,0.0,0.0,221.996,Nantes
87,0.0,0.0,0.0,22.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.32,Naples
201,0.0,0.0,50.368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.368,Nashville
338,6.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.039,0.0,0.0,19.351,Neuquén
88,0.0,0.0,33.574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.574,New Delhi
205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.625,26.625,New Orleans
206,0.0,0.0,625.947,0.0,8.34,416.109,0.0,0.0,36.144,0.0,0.0,1086.54,New York
89,0.0,0.0,0.0,152.842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.842,Newcastle-on-Tyne
324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.665,0.0,0.0,17.665,Nice
352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.803,0.0,0.0,11.803,Norfolk
